matchid,pred_points_player,actual_points_player,pred_selection_cnt,accuracy
335982,0,629,0,
335983,0,621,0,
335984,0,464,0,
335985,0,459,0,
335986,0,503,0,
335987,0,548,0,
335988,0,512,0,
335989,0,565,0,
335990,0,729,0,
335991,0,602,0,
335992,0,530,0,
335993,0,507,0,
335994,0,529,0,
335995,0,554,0,
335996,0,605,0,
335997,0,550,0,
335998,0,612,0,
335999,0,545,0,
336000,0,596,0,
336001,0,457,0,
336002,0,498,0,
336003,0,563,0,
336004,0,604,0,
336005,0,560,0,
336006,0,562,0,
336007,0,503,0,
336008,0,527,0,
336009,0,610,0,
336010,0,389,0,
336011,0,464,0,
336012,0,527,0,
336013,0,624,0,
336014,0,629,0,
336015,0,557,0,
336016,0,472,0,
336017,0,549,0,
336018,0,586,0,
336019,0,700,0,
336020,0,647,0,
336021,0,445,0,
336022,178,406,8,
336023,232,648,5,
336024,154,635,5,
336025,27,383,6,
336026,220,522,6,
336027,319,533,10,0.9
336028,223,605,8,
336029,221,564,6,
336031,243,524,7,
336032,263,603,8,
336033,174,699,8,
336034,464,569,9,
336035,327,647,10,0.494590417
336036,182,471,9,
336037,313,491,9,
336038,454,637,10,0.287284144
336039,337,462,10,0.270562771
336040,488,562,10,0.131672598
392181,249,558,9,
392182,458,649,10,0.294298921
392183,121,310,8,
392184,278,448,8,
392185,262,466,10,0.43776824
392186,273,375,9,
392188,402,628,10,0.359872611
392189,229,665,10,0.655639098
392190,296,570,9,
392191,331,616,10,0.462662338
392192,409,670,10,0.389552239
392194,149,461,9,
392195,370,547,10,0.323583181
392196,353,535,10,0.340186916
392197,389,621,9,
392198,329,525,10,0.373333333
392199,253,499,10,0.492985972
392200,295,528,10,0.441287879
392201,241,488,10,0.506147541
392202,535,660,10,0.189393939
392203,260,550,10,0.527272727
392204,439,650,10,0.324615385
392205,317,497,10,0.362173038
392206,267,657,10,0.593607306
392207,200,464,10,0.568965517
392208,398,507,10,0.214990138
392209,229,619,10,0.630048465
392210,454,608,10,0.253289474
392211,249,474,10,0.474683544
392212,397,584,10,0.320205479
392213,218,480,10,0.545833333
392214,437,536,10,0.184701493
392215,282,454,10,0.378854626
392216,229,487,10,0.529774127
392217,354,442,10,0.199095023
392218,248,434,10,0.428571429
392219,363,491,10,0.260692464
392220,403,554,10,0.272563177
392221,225,512,10,0.560546875
392222,270,464,10,0.418103448
392223,359,675,10,0.468148148
392224,414,558,10,0.258064516
392225,424,536,10,0.208955224
392226,347,492,10,0.294715447
392227,436,464,11,0.060344828
392228,351,492,10,0.286585366
392229,435,564,10,0.228723404
392230,430,544,10,0.205882353
392231,415,510,10,0.18627451
392232,381,502,10,0.241035857
392233,215,478,10,0.550209205
392234,239,543,10,0.55985267
392235,225,634,10,0.64511041
