matchid,pred_points_player,actual_points_player,pred_selection_cnt,error,rewards_earned
335982,0.0,897.5,0.0,,0.0
335983,0.0,814.5,0.0,,0.0
335984,0.0,578.5,0.0,,0.0
335985,0.0,547.0,0.0,,0.0
335986,0.0,618.0,0.0,,0.0
335987,0.0,641.5,0.0,,0.0
335988,0.0,696.5,0.0,,0.0
335989,0.0,706.5,0.0,,0.0
335990,0.0,939.0,0.0,,0.0
335991,0.0,729.5,0.0,,0.0
335992,527.0,695.0,8.0,,0.0
335993,0.0,644.5,0.0,,0.0
335994,548.0,731.0,10.0,,0.0
335995,215.0,693.0,8.0,,0.0
335996,563.0,718.0,10.0,,0.0
335997,478.0,699.0,10.0,,0.0
335998,682.5,792.5,10.0,,0.0
335999,343.5,702.5,10.0,,0.0
336000,460.0,720.5,10.0,,0.0
336001,458.0,586.0,10.0,,0.0
336002,240.0,602.0,10.0,,0.0
336003,323.0,725.0,10.0,,0.0
336004,454.0,738.0,10.0,,0.0
336005,217.0,764.0,10.0,,0.0
336006,391.0,686.5,10.0,,0.0
336007,556.0,585.0,10.0,,0.0
336008,413.0,659.5,10.0,,0.0
336009,532.5,718.5,10.0,,0.0
336010,337.0,486.0,10.0,,0.0
336011,547.0,622.0,10.0,,0.0
336012,243.5,656.5,10.0,,0.0
336013,316.0,812.0,10.0,,0.0
336014,582.0,852.0,10.0,,0.0
336015,555.5,751.5,10.0,,0.0
336016,528.5,609.5,10.0,,0.0
336017,361.0,709.0,10.0,,0.0
336018,709.5,769.5,10.0,,0.0
336019,603.0,893.0,10.0,,0.0
336020,467.0,844.0,10.0,,0.0
336021,243.0,554.0,10.0,,0.0
336022,185.5,505.5,10.0,,0.0
336023,571.0,808.5,10.0,,0.0
336024,588.0,819.0,10.0,,0.0
336025,244.5,540.5,10.0,,0.0
336026,445.0,630.0,10.0,,0.0
336027,530.5,674.5,10.0,,0.0
336028,635.0,767.0,10.0,,0.0
336029,241.5,699.5,10.0,,0.0
336031,501.5,658.5,10.0,,0.0
336032,309.5,730.5,10.0,,0.0
336033,636.0,890.0,10.0,,0.0
336034,360.0,695.0,10.0,,0.0
336035,754.5,852.5,10.0,,0.0
336036,495.0,611.0,10.0,,0.0
336037,456.0,572.0,10.0,,0.0
336038,720.0,830.0,10.0,,0.0
336039,420.5,572.5,10.0,,0.0
336040,356.5,755.5,10.0,,0.0
392181,447.0,680.5,10.0,,0.0
392182,610.5,848.5,10.0,,0.0
392183,153.5,414.5,10.0,,0.0
392184,491.0,571.0,10.0,,0.0
392185,433.0,632.5,10.0,,0.0
392186,296.5,456.5,10.0,,0.0
392188,409.5,750.5,10.0,,0.0
392189,281.5,813.5,10.0,,0.0
392190,334.5,684.5,10.0,,0.0
392191,292.0,781.0,10.0,,0.0
392192,568.0,813.5,10.0,,0.0
392194,403.0,514.5,10.0,,0.0
392195,485.5,673.5,10.0,,0.0
392196,512.0,652.5,10.0,,0.0
392197,581.0,764.5,10.0,,0.0
392198,601.5,649.5,10.0,,0.0
392199,307.0,624.0,10.0,,0.0
392200,421.5,641.5,10.0,,0.0
392201,355.5,566.5,10.0,,0.0
392202,672.0,889.0,10.0,,0.0
392203,487.0,685.5,10.0,,0.0
392204,441.0,854.0,10.0,,0.0
392205,414.0,578.0,10.0,,0.0
392206,326.5,821.5,10.0,,0.0
392207,457.0,617.5,10.0,,0.0
392208,235.0,645.0,10.0,,0.0
392209,298.0,755.0,10.0,,0.0
392210,286.0,741.5,10.0,,0.0
392211,344.0,611.0,10.0,,0.0
392212,685.5,781.5,10.0,,0.0
392213,277.5,635.5,10.0,,0.0
392214,375.5,698.5,10.0,,0.0
392215,365.0,568.0,10.0,,0.0
392216,469.0,593.0,10.0,,0.0
392217,278.0,582.0,10.0,,0.0
392218,287.0,576.0,10.0,,0.0
392219,257.0,600.0,10.0,,0.0
392220,468.0,685.0,10.0,,0.0
392221,524.0,677.0,10.0,,0.0
392222,402.0,563.5,10.0,,0.0
392223,293.0,827.5,10.0,,0.0
392224,523.0,673.0,10.0,,0.0
392225,298.5,654.5,10.0,,0.0
392226,377.0,621.5,10.0,,0.0
392227,490.5,599.5,10.0,,0.0
392228,482.0,575.0,10.0,,0.0
392229,319.0,683.5,10.0,,0.0
392230,374.0,679.0,10.0,,0.0
392231,539.5,667.5,10.0,,0.0
392232,443.0,641.5,10.0,,0.0
392233,176.0,582.0,10.0,,0.0
392234,390.0,625.0,10.0,,0.0
392235,395.0,789.0,10.0,,0.0
392236,235.0,773.0,10.0,,0.0
392237,340.0,755.0,10.0,,0.0
392238,399.0,508.5,10.0,,0.0
392239,603.5,766.5,10.0,,0.0
419106,312.0,686.0,10.0,,0.0
419107,208.0,774.0,10.0,,0.0
419108,332.5,658.5,10.0,,0.0
419109,339.0,688.0,10.0,,0.0
419110,638.5,732.5,10.0,,0.0
419111,369.0,529.5,10.0,,0.0
419112,546.0,795.0,10.0,,0.0
419113,387.0,620.5,10.0,,0.0
419114,478.0,731.5,10.0,,0.0
419115,567.5,602.5,10.0,,0.0
419116,375.0,738.0,10.0,,0.0
419117,624.5,711.5,10.0,,0.0
419118,359.5,559.5,10.0,,0.0
419119,411.0,667.5,10.0,,0.0
419120,483.0,679.5,10.0,,0.0
419121,450.0,677.5,10.0,,0.0
419122,533.5,620.5,10.0,,0.0
419123,399.0,673.0,10.0,,0.0
419124,380.0,654.5,10.0,,0.0
419125,508.5,698.5,10.0,,0.0
419126,493.5,644.5,10.0,,0.0
419127,494.5,706.5,10.0,,0.0
419128,246.0,581.0,10.0,,0.0
419129,359.5,662.5,10.0,,0.0
419130,614.0,878.5,10.0,,0.0
419131,516.0,777.5,10.0,,0.0
419132,628.5,770.5,10.0,,0.0
419133,298.0,656.0,10.0,,0.0
419134,295.0,711.0,10.0,,0.0
419135,641.0,733.0,10.0,,0.0
419136,418.0,548.5,10.0,,0.0
419137,622.0,1022.5,10.0,,0.0
419138,426.0,665.0,10.0,,0.0
419139,387.0,763.0,10.0,,0.0
419140,311.0,676.5,10.0,,0.0
419141,659.5,864.5,10.0,,0.0
419142,394.0,597.5,10.0,,0.0
419143,305.5,609.5,10.0,,0.0
419144,372.0,650.0,10.0,,0.0
419145,430.0,746.0,10.0,,0.0
419146,266.0,707.5,10.0,,0.0
419147,546.5,634.5,10.0,,0.0
419148,331.0,652.5,10.0,,0.0
419149,473.5,610.5,10.0,,0.0
419150,562.0,669.0,10.0,,0.0
419151,419.5,700.5,10.0,,0.0
419152,376.0,540.0,10.0,,0.0
419153,592.5,734.5,10.0,,0.0
419154,398.0,513.0,10.0,,0.0
419155,408.0,578.5,10.0,,0.0
419156,496.0,687.5,10.0,,0.0
419157,486.0,729.5,10.0,,0.0
419158,443.0,645.5,10.0,,0.0
419159,343.5,735.5,10.0,,0.0
