matchid,playername,playing_role,playing_team,playercost,total_points,pred_points_xgb,pred_points_catboost,pred_points_rf,pred_points_movingaverage,pred_points,pred_selection_rank,pred_selection_true,actual_selection_rank,actual_selection_true
335982,AA Noffke,AllRounder,Royal Challengers Bangalore,9,37.0,32.51183,33.19715867739194,31.330801705024943,,,,,4.0,1.0
335982,AB Agarkar,Bowler,Kolkata Knight Riders,9,118.5,26.837292,26.617901056986756,28.37461639456574,,,,,1.0,1.0
335982,AB Dinda,Bowler,Kolkata Knight Riders,9,56.0,26.837292,26.617901056986756,28.37461639456574,,,,,3.0,1.0
335982,B Akhil,Bowler,Royal Challengers Bangalore,9,-2.0,26.257326,26.920588017569084,27.56764823147952,,,,,,
335982,BB McCullum,Batsmen,Kolkata Knight Riders,9,458.0,26.254084,26.682550210199427,28.846808433450047,,,,,0.0,1.0
335982,CL White,Batsmen,Royal Challengers Bangalore,9,0.0,25.674118,26.985237170781755,27.51497539980279,,,,,,
335982,DJ Hussey,Batsmen,Kolkata Knight Riders,9,13.0,26.254084,26.682550210199427,28.846808433450047,,,,,,
335982,I Sharma,Bowler,Kolkata Knight Riders,9,31.0,26.837292,26.617901056986756,28.37461639456574,,,,,7.0,1.0
335982,JH Kallis,AllRounder,Royal Challengers Bangalore,9,30.0,32.51183,33.19715867739194,31.330801705024943,,,,,8.0,1.0
335982,LR Shukla,AllRounder,Kolkata Knight Riders,9,35.0,33.091785,32.564208313125576,30.99938929747226,,,,,6.0,1.0
335982,MV Boucher,Batsmen,Royal Challengers Bangalore,9,11.0,25.674118,26.985237170781755,27.51497539980279,,,,,,
335982,Mohammad Hafeez,AllRounder,Kolkata Knight Riders,9,6.0,33.091785,32.564208313125576,30.99938929747226,,,,,,
335982,P Kumar,Bowler,Royal Challengers Bangalore,9,36.0,26.257326,26.920588017569084,27.56764823147952,,,,,5.0,1.0
335982,R Dravid,Batsmen,Royal Challengers Bangalore,9,2.0,25.674118,26.985237170781755,27.51497539980279,,,,,,
335982,RT Ponting,Batsmen,Kolkata Knight Riders,9,28.0,26.254084,26.682550210199427,28.846808433450047,,,,,9.0,1.0
335982,SB Joshi,Bowler,Royal Challengers Bangalore,9,5.0,26.257326,26.920588017569084,27.56764823147952,,,,,,
335982,SC Ganguly,Batsmen,Kolkata Knight Riders,9,68.0,26.254084,26.682550210199427,28.846808433450047,,,,,2.0,1.0
335982,V Kohli,Batsmen,Royal Challengers Bangalore,9,6.0,25.674118,26.985237170781755,27.51497539980279,,,,,,
335982,W Jaffer,Batsmen,Royal Challengers Bangalore,9,8.0,25.674118,26.985237170781755,27.51497539980279,,,,,,
335982,Z Khan,Bowler,Royal Challengers Bangalore,9,26.0,26.257326,26.920588017569084,27.56764823147952,,,,,10.0,1.0
335983,B Lee,Bowler,Kings XI Punjab,9,25.0,25.783604,26.92929794491291,27.735819962602985,,,,,9.0,1.0
335983,IK Pathan,AllRounder,Kings XI Punjab,9,47.0,32.583405,32.9008846186561,31.88807538649247,,,,,3.0,1.0
335983,JDP Oram,Bowler,Chennai Super Kings,9,14.0,26.339367,26.609191129642927,28.376934878509484,,,,,,
335983,JR Hopes,AllRounder,Kings XI Punjab,9,172.5,32.583405,32.9008846186561,31.88807538649247,,,,,1.0,1.0
335983,Joginder Sharma,Bowler,Chennai Super Kings,9,19.0,26.339367,26.609191129642927,28.376934878509484,,,,,,
335983,K Goel,Batsmen,Kings XI Punjab,9,23.0,25.200396,26.99394709812558,28.298521296304006,,,,,,
335983,KC Sangakkara,Batsmen,Kings XI Punjab,9,77.0,25.200396,26.99394709812558,28.298521296304006,,,,,2.0,1.0
335983,M Muralitharan,Bowler,Chennai Super Kings,9,25.0,26.339367,26.609191129642927,28.376934878509484,,,,,8.0,1.0
335983,MEK Hussey,Batsmen,Chennai Super Kings,9,334.0,25.75616,26.6738402828556,29.772740331189716,,,,,0.0,1.0
335983,ML Hayden,Batsmen,Chennai Super Kings,9,32.0,25.75616,26.6738402828556,29.772740331189716,,,,,6.0,1.0
335983,MS Dhoni,Batsmen,Chennai Super Kings,9,2.0,25.75616,26.6738402828556,29.772740331189716,,,,,,
335983,MS Gony,Bowler,Chennai Super Kings,9,23.0,26.339367,26.609191129642927,28.376934878509484,,,,,,
335983,P Amarnath,Bowler,Chennai Super Kings,9,21.0,26.339367,26.609191129642927,28.376934878509484,,,,,,
335983,PA Patel,Batsmen,Chennai Super Kings,9,19.0,25.75616,26.6738402828556,29.772740331189716,,,,,,
335983,PP Chawla,Bowler,Kings XI Punjab,9,-6.0,25.783604,26.92929794491291,27.735819962602985,,,,,,
335983,S Badrinath,Batsmen,Chennai Super Kings,9,38.0,25.75616,26.6738402828556,29.772740331189716,,,,,5.0,1.0
335983,S Sreesanth,Bowler,Kings XI Punjab,9,-4.0,25.783604,26.92929794491291,27.735819962602985,,,,,,
335983,SK Raina,Batsmen,Chennai Super Kings,9,41.0,25.75616,26.6738402828556,29.772740331189716,,,,,4.0,1.0
335983,SM Katich,Batsmen,Kings XI Punjab,9,26.0,25.200396,26.99394709812558,28.298521296304006,,,,,,
335983,WA Mota,Bowler,Kings XI Punjab,9,23.0,25.783604,26.92929794491291,27.735819962602985,,,,,10.0,1.0
335983,Yuvraj Singh,AllRounder,Kings XI Punjab,9,28.0,32.583405,32.9008846186561,31.88807538649247,,,,,7.0,1.0
335984,B Geeves,Bowler,Delhi Daredevils,9,-4.0,26.257326,26.92929794491291,27.86260282674873,,,,,,
335984,D Salunkhe,Bowler,Rajasthan Royals,9,32.0,26.062561,26.609191129642927,27.05929742386818,,,,,7.0,1.0
335984,DL Vettori,Bowler,Delhi Daredevils,9,25.0,26.257326,26.92929794491291,27.86260282674873,,,,,8.0,1.0
335984,DS Lehmann,Batsmen,Rajasthan Royals,9,1.0,25.479353,26.6738402828556,27.21167193336053,,,,,,
335984,G Gambhir,Batsmen,Delhi Daredevils,9,156.0,25.674118,26.99394709812558,28.2836765349048,,,,,0.0,1.0
335984,GD McGrath,Bowler,Delhi Daredevils,9,37.0,26.257326,26.92929794491291,27.86260282674873,,,,,6.0,1.0
335984,M Kaif,Batsmen,Rajasthan Royals,9,11.0,25.479353,26.6738402828556,27.21167193336053,,,,,,
335984,M Rawat,Batsmen,Rajasthan Royals,9,2.0,25.479353,26.6738402828556,27.21167193336053,,,,,,
335984,MF Maharoof,Bowler,Delhi Daredevils,9,56.0,26.257326,26.92929794491291,27.86260282674873,,,,,3.0,1.0
335984,MM Patel,Bowler,Rajasthan Royals,9,0.0,26.062561,26.609191129642927,27.05929742386818,,,,,,
335984,R Bhatia,Bowler,Delhi Daredevils,9,56.0,26.257326,26.92929794491291,27.86260282674873,,,,,2.0,1.0
335984,RA Jadeja,AllRounder,Rajasthan Royals,9,39.0,32.317062,32.860482371861416,31.017803175241912,,,,,5.0,1.0
335984,S Dhawan,Batsmen,Delhi Daredevils,9,112.5,25.674118,26.99394709812558,28.2836765349048,,,,,1.0,1.0
335984,SK Trivedi,Bowler,Rajasthan Royals,9,3.0,26.062561,26.609191129642927,27.05929742386818,,,,,,
335984,SK Warne,Bowler,Rajasthan Royals,9,16.0,26.062561,26.609191129642927,27.05929742386818,,,,,9.0,1.0
335984,SR Watson,AllRounder,Rajasthan Royals,9,50.0,32.317062,32.860482371861416,31.017803175241912,,,,,4.0,1.0
335984,T Kohli,Batsmen,Rajasthan Royals,9,10.0,25.479353,26.6738402828556,27.21167193336053,,,,,,
335984,V Sehwag,Batsmen,Delhi Daredevils,9,15.0,25.674118,26.99394709812558,28.2836765349048,,,,,10.0,1.0
335984,YK Pathan,AllRounder,Rajasthan Royals,9,12.0,32.317062,32.860482371861416,31.017803175241912,,,,,,
335985,A Nehra,Bowler,Mumbai Indians,9,23.0,26.257326,26.920588017569084,28.00421801444568,,,,,,
335985,AM Nayar,Batsmen,Mumbai Indians,9,21.0,25.674118,26.985237170781755,28.162460589922183,,,,,,
335985,B Akhil,Bowler,Royal Challengers Bangalore,9,56.0,26.581818,26.617901056986756,27.73973060668861,,,,,2.0,1.0
335985,DJ Thornely,AllRounder,Mumbai Indians,9,6.0,32.51183,33.19715867739194,31.12202903618524,,,,,,
335985,DS Kulkarni,Bowler,Mumbai Indians,9,27.0,26.257326,26.920588017569084,28.00421801444568,,,,,10.0,1.0
335985,Harbhajan Singh,Bowler,Mumbai Indians,9,52.0,26.257326,26.920588017569084,28.00421801444568,,,,,4.0,1.0
335985,JH Kallis,AllRounder,Royal Challengers Bangalore,9,21.0,33.059227,32.564208313125576,31.16598734489863,,,,,,
335985,L Ronchi,Batsmen,Mumbai Indians,9,10.0,25.674118,26.985237170781755,28.162460589922183,,,,,,
335985,LRPL Taylor,Batsmen,Royal Challengers Bangalore,9,29.0,25.739141,26.682550210199427,27.724371999505024,,,,,9.0,1.0
335985,MV Boucher,Batsmen,Royal Challengers Bangalore,9,48.0,26.22152,26.682550210199427,27.92004063241641,,,,,5.0,1.0
335985,P Kumar,Bowler,Royal Challengers Bangalore,9,25.0,26.581818,26.617901056986756,27.73973060668861,,,,,,
335985,PR Shah,Batsmen,Mumbai Indians,9,23.0,25.674118,26.985237170781755,28.162460589922183,,,,,,
335985,R Dravid,Batsmen,Royal Challengers Bangalore,9,36.0,26.22152,26.682550210199427,27.92004063241641,,,,,7.0,1.0
335985,R Vinay Kumar,Bowler,Royal Challengers Bangalore,9,-4.0,26.32235,26.617901056986756,27.590729850313245,,,,,,
335985,RV Uthappa,Batsmen,Mumbai Indians,9,84.0,25.674118,26.985237170781755,28.162460589922183,,,,,1.0,1.0
335985,S Chanderpaul,Batsmen,Royal Challengers Bangalore,9,20.0,25.739141,26.682550210199427,27.724371999505024,,,,,,
335985,SB Joshi,Bowler,Royal Challengers Bangalore,9,4.0,26.581818,26.617901056986756,27.73973060668861,,,,,,
335985,SM Pollock,AllRounder,Mumbai Indians,9,39.0,32.51183,33.19715867739194,31.12202903618524,,,,,6.0,1.0
335985,ST Jayasuriya,AllRounder,Mumbai Indians,9,120.0,32.51183,33.19715867739194,31.12202903618524,,,,,0.0,1.0
335985,V Kohli,Batsmen,Royal Challengers Bangalore,9,29.0,26.22152,26.682550210199427,27.92004063241641,,,,,8.0,1.0
335985,Z Khan,Bowler,Royal Challengers Bangalore,9,54.0,26.581818,26.617901056986756,27.73973060668861,,,,,3.0,1.0
335986,A Symonds,AllRounder,Deccan Chargers,9,43.0,32.317062,32.860482371861416,30.839062402379245,,,,,6.0,1.0
335986,AB Agarkar,Bowler,Kolkata Knight Riders,9,48.0,26.580332,26.92929794491291,28.159176782064904,,,,,5.0,1.0
335986,AB Dinda,Bowler,Kolkata Knight Riders,9,27.0,26.580332,26.92929794491291,28.159176782064904,,,,,,
335986,AC Gilchrist,Batsmen,Deccan Chargers,9,31.0,25.479353,26.6738402828556,27.24837801192382,,,,,9.0,1.0
335986,AS Yadav,Batsmen,Deccan Chargers,9,13.0,25.479353,26.6738402828556,27.24837801192382,,,,,,
335986,BB McCullum,Batsmen,Kolkata Knight Riders,9,6.0,26.220034,26.99394709812558,28.53212212136956,,,,,,
335986,DJ Hussey,Batsmen,Kolkata Knight Riders,9,111.0,26.220034,26.99394709812558,28.53212212136956,,,,,1.0,1.0
335986,I Sharma,Bowler,Kolkata Knight Riders,9,39.0,26.580332,26.92929794491291,28.159176782064904,,,,,7.0,1.0
335986,LR Shukla,AllRounder,Kolkata Knight Riders,9,5.0,33.05774,32.9008846186561,30.881861680902,,,,,,
335986,M Kartik,Bowler,Kolkata Knight Riders,9,158.0,27.095594,26.92929794491291,27.98150650304573,,,,,0.0,1.0
335986,Mohammad Hafeez,AllRounder,Kolkata Knight Riders,9,48.0,33.05774,32.9008846186561,30.881861680902,,,,,4.0,1.0
335986,PP Ojha,Bowler,Deccan Chargers,9,56.0,26.062561,26.609191129642927,27.11337011301917,,,,,2.0,1.0
335986,RG Sharma,Batsmen,Deccan Chargers,9,-2.0,25.479353,26.6738402828556,27.24837801192382,,,,,,
335986,RP Singh,Bowler,Deccan Chargers,9,30.0,26.062561,26.609191129642927,27.11337011301917,,,,,,
335986,RT Ponting,Batsmen,Kolkata Knight Riders,9,-2.0,26.220034,26.99394709812558,28.53212212136956,,,,,,
335986,SB Bangar,Bowler,Deccan Chargers,9,31.0,26.062561,26.609191129642927,27.11337011301917,,,,,8.0,1.0
335986,SB Styris,AllRounder,Deccan Chargers,9,12.0,32.317062,32.860482371861416,30.839062402379245,,,,,,
335986,SC Ganguly,Batsmen,Kolkata Knight Riders,9,30.0,26.220034,26.99394709812558,28.53212212136956,,,,,10.0,1.0
335986,VVS Laxman,Batsmen,Deccan Chargers,9,-2.0,25.479353,26.6738402828556,27.24837801192382,,,,,,
335986,WP Saha,Batsmen,Kolkata Knight Riders,9,16.0,26.512386,26.99394709812558,28.271806899402502,,,,,,
335986,WPUJC Vaas,Bowler,Deccan Chargers,9,54.0,26.062561,26.609191129642927,27.11337011301917,,,,,3.0,1.0
335986,Y Venugopal Rao,Batsmen,Deccan Chargers,9,17.0,25.479353,26.6738402828556,27.24837801192382,,,,,,
335987,B Lee,Bowler,Kings XI Punjab,9,23.0,26.32203,26.609191129642927,27.70661135370959,,,,,,
335987,D Salunkhe,Bowler,Rajasthan Royals,9,25.0,26.684107,26.92929794491291,28.39214546900221,,,,,9.0,1.0
335987,DPMD Jayawardene,Batsmen,Kings XI Punjab,9,3.0,25.479353,26.6738402828556,27.683814152479137,,,,,,
335987,DS Lehmann,Batsmen,Rajasthan Royals,9,22.0,26.323807,26.99394709812558,28.71612177953412,,,,,10.0,1.0
335987,IK Pathan,AllRounder,Kings XI Punjab,9,43.0,32.79944,32.860482371861416,31.753203241393592,,,,,5.0,1.0
335987,JR Hopes,AllRounder,Kings XI Punjab,9,43.0,32.79944,32.860482371861416,31.753203241393592,,,,,,
335987,K Goel,Batsmen,Kings XI Punjab,9,33.0,25.961731,26.6738402828556,28.067836707880307,,,,,6.0,1.0
335987,KC Sangakkara,Batsmen,Kings XI Punjab,9,25.0,25.961731,26.6738402828556,28.067836707880307,,,,,8.0,1.0
335987,Kamran Akmal,Batsmen,Rajasthan Royals,9,20.0,25.841429,26.99394709812558,28.36590616187872,,,,,,
335987,M Kaif,Batsmen,Rajasthan Royals,9,7.0,26.323807,26.99394709812558,28.71612177953412,,,,,,
335987,MM Patel,Bowler,Rajasthan Royals,9,23.0,26.684107,26.92929794491291,28.39214546900221,,,,,,
335987,PP Chawla,Bowler,Kings XI Punjab,9,23.0,26.32203,26.609191129642927,27.70661135370959,,,,,,
335987,Pankaj Singh,Bowler,Rajasthan Royals,9,-6.0,26.424639,26.92929794491291,28.124574794294663,,,,,,
335987,RA Jadeja,AllRounder,Rajasthan Royals,9,46.0,33.09552,32.9008846186561,32.22209818679855,,,,,4.0,1.0
335987,S Sohal,Batsmen,Kings XI Punjab,9,4.0,25.479353,26.6738402828556,27.683814152479137,,,,,,
335987,S Sreesanth,Bowler,Kings XI Punjab,9,25.0,26.32203,26.609191129642927,27.70661135370959,,,,,7.0,1.0
335987,SK Trivedi,Bowler,Rajasthan Royals,9,50.0,26.684107,26.92929794491291,28.39214546900221,,,,,3.0,1.0
335987,SK Warne,Bowler,Rajasthan Royals,9,79.0,26.684107,26.92929794491291,28.39214546900221,,,,,2.0,1.0
335987,SR Watson,AllRounder,Rajasthan Royals,9,200.0,33.09552,32.9008846186561,32.22209818679855,,,,,0.0,1.0
335987,WA Mota,Bowler,Kings XI Punjab,9,-5.0,26.32203,26.609191129642927,27.70661135370959,,,,,,
335987,YK Pathan,AllRounder,Rajasthan Royals,9,3.0,33.09552,32.9008846186561,32.22209818679855,,,,,,
335987,Yuvraj Singh,AllRounder,Kings XI Punjab,9,118.5,32.79944,32.860482371861416,31.753203241393592,,,,,1.0,1.0
335988,A Symonds,AllRounder,Deccan Chargers,9,8.0,32.9942,33.19715867739194,32.29712315695892,,,,,10.0,1.0
335988,AC Gilchrist,Batsmen,Deccan Chargers,9,11.0,26.156496,26.985237170781755,28.5231850357974,,,,,,
335988,AS Yadav,Batsmen,Deccan Chargers,9,14.0,26.156496,26.985237170781755,28.5231850357974,,,,,,
335988,G Gambhir,Batsmen,Delhi Daredevils,9,14.0,26.077383,26.682550210199427,28.123240989001225,,,,,,
335988,GD McGrath,Bowler,Delhi Daredevils,9,10.0,26.437681,26.617901056986756,27.66677684682613,,,,,,
335988,MF Maharoof,Bowler,Delhi Daredevils,9,50.0,26.437681,26.617901056986756,27.66677684682613,,,,,4.0,1.0
335988,Mohammad Asif,Bowler,Delhi Daredevils,9,54.0,26.178213,26.617901056986756,27.592030282162256,,,,,2.0,1.0
335988,PP Ojha,Bowler,Deccan Chargers,9,6.0,26.516794,26.920588017569084,27.977582089764383,,,,,,
335988,R Bhatia,Bowler,Delhi Daredevils,9,50.0,26.437681,26.617901056986756,27.66677684682613,,,,,3.0,1.0
335988,RG Sharma,Batsmen,Deccan Chargers,9,133.5,26.156496,26.985237170781755,28.5231850357974,,,,,1.0,1.0
335988,RP Singh,Bowler,Deccan Chargers,9,26.0,26.516794,26.920588017569084,27.977582089764383,,,,,6.0,1.0
335988,S Dhawan,Batsmen,Delhi Daredevils,9,32.0,26.077383,26.682550210199427,28.123240989001225,,,,,5.0,1.0
335988,SB Bangar,Bowler,Deccan Chargers,9,3.0,26.516794,26.920588017569084,27.977582089764383,,,,,,
335988,Shahid Afridi,Bowler,Deccan Chargers,9,2.0,26.257326,26.920588017569084,27.440247836845423,,,,,,
335988,V Sehwag,Batsmen,Delhi Daredevils,9,296.0,26.077383,26.682550210199427,28.123240989001225,,,,,0.0,1.0
335988,VVS Laxman,Batsmen,Deccan Chargers,9,2.0,26.156496,26.985237170781755,28.5231850357974,,,,,,
335988,VY Mahesh,Bowler,Delhi Daredevils,9,25.0,26.178213,26.617901056986756,27.592030282162256,,,,,7.0,1.0
335988,WPUJC Vaas,Bowler,Deccan Chargers,9,22.0,26.516794,26.920588017569084,27.977582089764383,,,,,8.0,1.0
335988,Y Venugopal Rao,Batsmen,Deccan Chargers,9,16.0,26.156496,26.985237170781755,28.5231850357974,,,,,9.0,1.0
335989,A Nehra,Bowler,Mumbai Indians,9,26.0,25.72492,26.609191129642927,27.2530121611791,,,,,,
335989,AM Nayar,Batsmen,Mumbai Indians,9,48.0,25.364622,26.6738402828556,27.754763978432475,,,,,6.0,1.0
335989,DJ Bravo,AllRounder,Mumbai Indians,9,23.0,32.38864,32.860482371861416,30.400379648535377,,,,,,
335989,DS Kulkarni,Bowler,Mumbai Indians,9,25.0,25.72492,26.609191129642927,27.2530121611791,,,,,,
335989,Harbhajan Singh,Bowler,Mumbai Indians,9,35.0,25.72492,26.609191129642927,27.2530121611791,,,,,9.0,1.0
335989,JDP Oram,Bowler,Chennai Super Kings,9,0.0,26.71817,26.92929794491291,28.538027621267688,,,,,,
335989,Joginder Sharma,Bowler,Chennai Super Kings,9,50.0,26.71817,26.92929794491291,28.538027621267688,,,,,5.0,1.0
335989,L Ronchi,Batsmen,Mumbai Indians,9,3.0,25.364622,26.6738402828556,27.754763978432475,,,,,,
335989,M Muralitharan,Bowler,Chennai Super Kings,9,50.0,26.71817,26.92929794491291,28.538027621267688,,,,,4.0,1.0
335989,MA Khote,Bowler,Mumbai Indians,9,59.0,25.588839,26.609191129642927,27.07044436941449,,,,,2.0,1.0
335989,MEK Hussey,Batsmen,Chennai Super Kings,9,6.0,26.357872,26.99394709812558,29.2023774612655,,,,,,
335989,ML Hayden,Batsmen,Chennai Super Kings,9,226.0,26.357872,26.99394709812558,29.2023774612655,,,,,0.0,1.0
335989,MS Dhoni,Batsmen,Chennai Super Kings,9,38.0,26.357872,26.99394709812558,29.2023774612655,,,,,7.0,1.0
335989,MS Gony,Bowler,Chennai Super Kings,9,37.0,26.71817,26.92929794491291,28.538027621267688,,,,,8.0,1.0
335989,P Amarnath,Bowler,Chennai Super Kings,9,19.0,26.71817,26.92929794491291,28.538027621267688,,,,,,
335989,PA Patel,Batsmen,Chennai Super Kings,9,18.0,26.357872,26.99394709812558,29.2023774612655,,,,,,
335989,RV Uthappa,Batsmen,Mumbai Indians,9,58.0,25.364622,26.6738402828556,27.754763978432475,,,,,3.0,1.0
335989,S Badrinath,Batsmen,Chennai Super Kings,9,2.0,26.357872,26.99394709812558,29.2023774612655,,,,,,
335989,SK Raina,Batsmen,Chennai Super Kings,9,115.5,26.357872,26.99394709812558,29.2023774612655,,,,,1.0,1.0
335989,SM Pollock,AllRounder,Mumbai Indians,9,20.0,32.747627,32.860482371861416,30.94990805371277,,,,,,
335989,ST Jayasuriya,AllRounder,Mumbai Indians,9,25.0,32.747627,32.860482371861416,30.94990805371277,,,,,10.0,1.0
335989,VS Yeligati,Bowler,Mumbai Indians,9,-2.0,25.588839,26.609191129642927,27.07044436941449,,,,,,
335990,A Symonds,AllRounder,Deccan Chargers,9,330.0,34.04325,33.00921618902312,34.06003157807593,,,,,0.0,1.0
