ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1254093,1st innings,0,119,0/0,0,0,1,0.1,0,0,0,False,,431901,Evin Lewis,Rajasthan Royals,277912,Trent Boult,Mumbai Indians,,,1151278,Yashasvi Jaiswal,0,0.0
ipl20,100002,1254093,1st innings,0,118,0/0,0,0,2,0.2,0,0,0,False,,431901,Evin Lewis,Rajasthan Royals,277912,Trent Boult,Mumbai Indians,,,1151278,Yashasvi Jaiswal,0,0.0
ipl20,100003,1254093,1st innings,0,117,0/0,0,0,3,0.3,0,0,0,False,,431901,Evin Lewis,Rajasthan Royals,277912,Trent Boult,Mumbai Indians,,,1151278,Yashasvi Jaiswal,0,0.0
ipl20,100004,1254093,1st innings,0,117,1/0,0,0,3,0.3,1,1,1,False,,431901,Evin Lewis,Rajasthan Royals,277912,Trent Boult,Mumbai Indians,,,1151278,Yashasvi Jaiswal,1,2.0
ipl20,100005,1254093,1st innings,0,116,2/0,0,0,4,0.4,1,0,0,False,,431901,Evin Lewis,Rajasthan Royals,277912,Trent Boult,Mumbai Indians,,,1151278,Yashasvi Jaiswal,1,3.0
ipl20,100006,1254093,1st innings,0,115,6/0,0,0,5,0.5,4,0,0,False,,1151278,Yashasvi Jaiswal,Rajasthan Royals,277912,Trent Boult,Mumbai Indians,,,431901,Evin Lewis,4,7.2
ipl20,100007,1254093,1st innings,0,114,6/0,0,0,6,0.6,0,0,0,False,,1151278,Yashasvi Jaiswal,Rajasthan Royals,277912,Trent Boult,Mumbai Indians,,,431901,Evin Lewis,0,6.0
ipl20,100101,1254093,1st innings,0,113,6/0,0,0,7,1.1,0,0,0,False,,431901,Evin Lewis,Rajasthan Royals,447587,Jayant Yadav,Mumbai Indians,,,1151278,Yashasvi Jaiswal,0,5.14
ipl20,100102,1254093,1st innings,0,112,12/0,0,0,8,1.2,6,0,0,False,,431901,Evin Lewis,Rajasthan Royals,447587,Jayant Yadav,Mumbai Indians,,,1151278,Yashasvi Jaiswal,6,9.0
ipl20,100103,1254093,1st innings,0,111,13/0,0,0,9,1.3,1,0,0,False,,431901,Evin Lewis,Rajasthan Royals,447587,Jayant Yadav,Mumbai Indians,,,1151278,Yashasvi Jaiswal,1,8.66
