matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points
1216492,AT Rayudu,146.0,98.0,48.0,6.0,10.0,0.0,2nd innings,Chennai Super Kings,Mumbai Indians,,,,,,,,,,Batsmen,146.0,12.0,10.0,24,192.0,,0,,0,,192.0
1216492,F du Plessis,118.0,90.0,45.0,,12.0,0.0,2nd innings,Chennai Super Kings,Mumbai Indians,,,,,,,,,,Batsmen,118.0,,12.0,24,154.0,,0,,0,,154.0
1216492,HH Pandya,28.0,20.0,10.0,4.0,,0.0,1st innings,Mumbai Indians,Chennai Super Kings,,,,,,,,,,Batsmen,28.0,8.0,,0,36.0,,0,,0,,36.0
1216492,JJ Bumrah,10.0,6.0,3.0,,,0.0,1st innings,Mumbai Indians,Chennai Super Kings,2.0,52.0,24.0,86.0,0.0,2nd innings,Chennai Super Kings,Mumbai Indians,21.5,Bowler,10.0,,,0,10.0,50.0,-6,0.0,0,44.0,54.0
1216492,James Pattinson,22.0,16.0,8.0,,4.0,0.0,1st innings,Mumbai Indians,Chennai Super Kings,2.0,50.0,24.0,54.0,0.0,2nd innings,Chennai Super Kings,Mumbai Indians,13.5,Bowler,22.0,,4.0,0,26.0,50.0,-6,0.0,0,44.0,70.0
1216492,KA Pollard,38.0,28.0,14.0,2.0,2.0,0.0,1st innings,Mumbai Indians,Chennai Super Kings,,,,,,,,,,AllRounder,38.0,4.0,2.0,0,44.0,,0,,0,,44.0
1216492,KH Pandya,6.0,6.0,3.0,,,0.0,1st innings,Mumbai Indians,Chennai Super Kings,2.0,50.0,24.0,74.0,0.0,2nd innings,Chennai Super Kings,Mumbai Indians,18.5,AllRounder,6.0,,,0,6.0,50.0,-6,0.0,0,44.0,50.0
1216492,M Vijay,4.0,16.0,7.0,,,0.0,2nd innings,Chennai Super Kings,Mumbai Indians,,,,,,,,,,Batsmen,4.0,,,0,4.0,,0,,0,,4.0
1216492,MS Dhoni,0.0,4.0,2.0,,,0.0,2nd innings,Chennai Super Kings,Mumbai Indians,,,,,,,,,,Batsmen,0.0,,,-2,-2.0,,0,,0,,-2.0
1216492,Q de Kock,70.0,44.0,20.0,,10.0,0.0,1st innings,Mumbai Indians,Chennai Super Kings,,,,,,,,,,Batsmen,70.0,,10.0,8,88.0,,0,,0,,88.0
