date,matchid,innings,target,fallofwickets,ball,over,scorevalue,validball,extras,extratype,batsmanname,batsmanscorevalue,bowlername,nonstrikername,totalruns,dismissal,dismissedtype,dismissedplayer,battingteam,bowlingteam
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,1,0.1,1,0,0,Nan,AS Raut,1,Shakib Al Hasan,F du Plessis,1,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,2,0.2,0,0,0,Nan,F du Plessis,0,Shakib Al Hasan,AS Raut,1,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,3,0.3,1,0,0,Nan,F du Plessis,1,Shakib Al Hasan,AS Raut,2,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,4,0.4,4,0,0,Nan,AS Raut,4,Shakib Al Hasan,F du Plessis,6,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,5,0.5,0,0,0,Nan,AS Raut,0,Shakib Al Hasan,F du Plessis,6,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,6,0.6,0,0,0,Nan,AS Raut,0,Shakib Al Hasan,F du Plessis,6,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,7,1.1,0,0,0,Nan,F du Plessis,0,Shivam Mavi,AS Raut,6,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,8,1.2,1,0,0,Nan,F du Plessis,1,Shivam Mavi,AS Raut,7,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,9,1.3,2,0,0,Nan,AS Raut,2,Shivam Mavi,F du Plessis,9,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,10,1.4,0,0,0,Nan,AS Raut,0,Shivam Mavi,F du Plessis,9,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,11,1.5,0,0,0,Nan,AS Raut,0,Shivam Mavi,F du Plessis,9,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,12,1.6,0,0,0,Nan,AS Raut,0,Shivam Mavi,F du Plessis,9,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,13,2.1,1,0,1,Nan,F du Plessis,1,Shakib Al Hasan,AS Raut,10,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,14,2.2,4,0,0,Nan,AS Raut,4,Shakib Al Hasan,F du Plessis,14,False,,,Chennai Super Kings,Kolkata Knight Riders
